市区町村コード,市区町村名,総人口,総65歳以上人口,居住125mメッシュ数,高齢者密度_人per_km2,道路距離対象_65歳以上人口,道路距離対象_総人口,圏外65歳以上人口_変種D,圏外率_変種D,圏外総人口_変種D,圏外率_変種D_総人口,圏外65歳以上人口_変種A,圏外率_変種A,圏外総人口_変種A,圏外率_変種A_総人口,圏外65歳以上人口_supermarketのみ,圏外65歳以上人口_変種C125,圏外率_変種C125,農水省_困難人口割合,農水省_困難人口,比_農水省÷変種D,比_農水省÷変種A,比_農水省÷変種C125
19442,小菅村,684,310,70,283.0,310,684,310,1.0,684,1.0,310,1.0,684,1.0,310,310,1.0,0.5264,163.0,0.526,0.526,0.526
19443,丹波山村,530,233,40,373.0,233,530,233,1.0,530,1.0,233,1.0,530,1.0,233,233,1.0,0.5788,137.0,0.579,0.579,0.579
20306,南相木村,962,392,101,248.0,392,962,392,1.0,962,1.0,392,1.0,962,1.0,392,392,1.0,0.3117,122.0,0.312,0.312,0.312
26463,伊根町,1731,855,153,358.0,855,1731,855,1.0,1731,1.0,855,1.0,1731,1.0,855,855,1.0,0.4869,455.0,0.487,0.487,0.487
27383,千早赤阪村,4851,2153,249,553.0,2153,4851,2153,1.0,4846,0.999,2117,0.9833,4778,0.985,2150,2039,0.9471,0.413,922.0,0.413,0.42,0.436
29322,山添村,3214,1550,374,265.0,1550,3214,1550,1.0,3214,1.0,1550,1.0,3214,1.0,1550,1550,1.0,0.2043,318.0,0.204,0.204,0.204
29385,曽爾村,1292,669,191,224.0,669,1292,669,1.0,1292,1.0,669,1.0,1292,1.0,669,669,1.0,0.3131,209.0,0.313,0.313,0.313
29386,御杖村,1479,891,249,229.0,891,1479,891,1.0,1479,1.0,891,1.0,1479,1.0,891,891,1.0,0.442,394.0,0.442,0.442,0.442
29447,野迫川村,357,183,75,156.0,183,357,183,1.0,357,1.0,183,1.0,357,1.0,183,183,1.0,0.4648,84.0,0.465,0.465,0.465
29450,下北山村,753,366,117,200.0,366,753,366,1.0,753,1.0,366,1.0,753,1.0,366,366,1.0,0.4265,156.0,0.426,0.426,0.426
32525,海士町,2215,893,233,245.0,884,2199,884,1.0,2199,1.0,859,0.9619,2139,0.9657,859,839,0.9395,0.5541,501.0,0.554,0.576,0.59
32526,西ノ島町,2689,1262,161,502.0,1256,2670,1256,1.0,2670,1.0,1123,0.8899,2305,0.8572,1123,1044,0.8273,0.546,704.0,0.546,0.614,0.66
33643,西粟倉村,1398,497,158,201.0,497,1398,497,1.0,1398,1.0,497,1.0,1398,1.0,497,497,1.0,0.3688,183.0,0.369,0.369,0.369
34431,大崎上島町,6947,3244,558,372.0,3244,6945,3244,1.0,6945,1.0,3051,0.9405,6509,0.937,3101,2876,0.8866,0.4577,1513.0,0.458,0.487,0.516
35341,上関町,2205,1274,139,587.0,1257,2165,1257,1.0,2165,1.0,1274,1.0,2205,1.0,1274,1274,1.0,0.4751,628.0,0.475,0.475,0.475
36302,上勝町,1380,770,242,204.0,770,1380,770,1.0,1380,1.0,770,1.0,1380,1.0,770,770,1.0,0.5043,389.0,0.504,0.504,0.504
39304,安田町,2396,1102,207,341.0,1102,2396,1102,1.0,2396,1.0,1102,1.0,2396,1.0,1102,1102,1.0,0.3448,373.0,0.345,0.345,0.345
39305,北川村,1146,493,147,215.0,493,1146,493,1.0,1146,1.0,493,1.0,1146,1.0,493,493,1.0,0.3023,153.0,0.302,0.302,0.302
39427,三原村,1437,683,221,198.0,683,1437,683,1.0,1437,1.0,683,1.0,1437,1.0,683,683,1.0,0.2802,189.0,0.28,0.28,0.28
43513,球磨村,2438,1066,264,258.0,1066,2438,1066,1.0,2434,0.9984,1066,1.0,2438,1.0,1066,1059,0.9934,0.2544,277.0,0.254,0.254,0.256
46303,三島村,405,107,35,196.0,107,405,107,1.0,405,1.0,107,1.0,405,1.0,107,107,1.0,0.7372,79.0,0.737,0.737,0.737
46304,十島村,740,204,73,179.0,204,739,204,1.0,739,1.0,204,1.0,740,1.0,204,204,1.0,0.7215,147.0,0.722,0.722,0.722
46523,大和村,1321,573,72,509.0,563,1300,563,1.0,1300,1.0,573,1.0,1321,1.0,573,573,1.0,0.5451,319.0,0.545,0.545,0.545
46524,宇検村,1585,681,106,411.0,660,1524,660,1.0,1524,1.0,681,1.0,1585,1.0,681,681,1.0,0.5831,408.0,0.583,0.583,0.583
46534,知名町,5757,2170,437,318.0,2170,5757,2170,1.0,5757,1.0,2170,1.0,5757,1.0,2170,2170,1.0,0.5788,1252.0,0.579,0.579,0.579
47353,渡嘉敷村,708,146,26,359.0,146,706,146,1.0,706,1.0,118,0.8082,496,0.7006,118,114,0.7808,0.5116,75.0,0.512,0.633,0.655
47354,座間味村,851,179,42,273.0,179,842,179,1.0,842,1.0,102,0.5698,498,0.5852,118,102,0.5698,0.6077,114.0,0.608,1.067,1.067
47356,渡名喜村,346,143,14,654.0,143,346,143,1.0,346,1.0,143,1.0,346,1.0,143,143,1.0,0.7448,107.0,0.745,0.745,0.745
47358,北大東村,590,127,80,102.0,127,590,127,1.0,590,1.0,91,0.7165,420,0.7119,100,62,0.4882,0.5698,72.0,0.57,0.795,1.167
47375,多良間村,1058,323,43,481.0,323,1058,323,1.0,1058,1.0,108,0.3344,394,0.3724,108,27,0.0836,0.1693,55.0,0.169,0.506,2.026
13362,利島村,327,80,17,301.0,80,327,80,1.0,327,1.0,80,1.0,327,1.0,80,80,1.0,0.7472,60.0,0.747,0.747,0.747
13421,小笠原村,2917,413,96,275.0,413,2908,413,1.0,2908,1.0,260,0.6295,1911,0.6551,260,204,0.4939,0.7287,301.0,0.729,1.158,1.475
29452,川上村,1156,640,174,235.0,640,1156,640,1.0,1156,1.0,640,1.0,1156,1.0,640,640,1.0,0.3931,252.0,0.393,0.393,0.393
39364,大川村,366,143,82,112.0,143,366,143,1.0,366,1.0,143,1.0,366,1.0,143,143,1.0,0.4085,61.0,0.408,0.408,0.408
40609,赤村,2813,1173,292,257.0,1173,2813,1173,1.0,2813,1.0,1173,1.0,2813,1.0,1173,1173,1.0,0.2084,233.0,0.208,0.208,0.208
43507,水上村,2045,921,296,199.0,921,2045,921,1.0,2045,1.0,921,1.0,2045,1.0,921,921,1.0,0.3922,354.0,0.392,0.392,0.392
44322,姫島村,1718,942,78,773.0,942,1718,942,1.0,1718,1.0,644,0.6837,1238,0.7206,644,469,0.4979,0.3566,336.0,0.357,0.522,0.716
47355,粟国村,667,244,51,306.0,244,667,244,1.0,667,1.0,201,0.8238,510,0.7646,244,120,0.4918,0.6207,154.0,0.621,0.753,1.262
47357,南大東村,1285,316,154,131.0,316,1285,316,1.0,1285,1.0,177,0.5601,588,0.4576,177,142,0.4494,0.3631,115.0,0.363,0.648,0.808
