市区町村コード,市区町村名,総65歳以上人口,居住125mメッシュ数,高齢者密度_人per_km2,圏外65歳以上人口_変種A,圏外率_変種A,圏外65歳以上人口_supermarketのみ,圏外65歳以上人口_変種C125,圏外率_変種C125,農水省_困難人口割合,農水省_困難人口,比_農水省÷変種A,比_農水省÷変種C125
11237,三郷市,38399,1396,1760.0,13963,0.3636,30228,2156,0.0561,0.2489,9609.0,0.685,4.434
28203,明石市,79205,2267,2236.0,28656,0.3618,58810,5341,0.0674,0.2652,21112.0,0.733,3.932
14401,愛川町,11987,746,1028.0,4329,0.3611,8979,1477,0.1232,0.2698,3223.0,0.747,2.189
14208,逗子市,17910,601,1907.0,6448,0.36,12062,1082,0.0604,0.4222,7578.0,1.173,6.989
12224,鎌ケ谷市,31654,1020,1986.0,11324,0.3577,22814,1699,0.0537,0.2804,8829.0,0.784,5.224
04100,仙台市,256987,11646,1412.0,91828,0.3573,185351,29638,0.1153,0.2791,71785.0,0.781,2.42
27207,高槻市,102590,2436,2695.0,36547,0.3562,67811,12101,0.118,0.2624,26822.0,0.736,2.224
28100,神戸市,418976,12272,2185.0,148020,0.3533,260890,48820,0.1165,0.2601,109028.0,0.736,2.232
37386,宇多津町,3947,331,763.0,1394,0.3532,2892,470,0.1191,0.2854,1131.0,0.808,2.397
04209,多賀城市,15429,720,1371.0,5447,0.353,12396,920,0.0596,0.2527,3914.0,0.716,4.237
40100,北九州市,286082,11191,1636.0,100723,0.3521,201167,31315,0.1095,0.2808,80364.0,0.798,2.565
01202,函館市,89043,4510,1264.0,31211,0.3505,67147,12140,0.1363,0.2331,20807.0,0.665,1.71
27231,大阪狭山市,16360,587,1784.0,5733,0.3504,10787,2474,0.1512,0.3948,6487.0,1.127,2.611
11219,上尾市,61601,2345,1681.0,21525,0.3494,43965,4125,0.067,0.2337,14309.0,0.669,3.491
27217,松原市,34993,832,2692.0,12135,0.3468,23726,901,0.0257,0.2891,10196.0,0.834,11.229
23234,北名古屋市,20718,979,1354.0,7134,0.3443,16626,1138,0.0549,0.2811,5845.0,0.816,5.117
14218,綾瀬市,23183,853,1739.0,7962,0.3434,18909,1511,0.0652,0.3164,7337.0,0.921,4.855
37403,琴平町,3463,325,682.0,1189,0.3433,2568,654,0.1889,0.3003,1042.0,0.875,1.59
27225,高石市,15668,357,2809.0,5353,0.3417,10359,270,0.0172,0.286,4480.0,0.837,16.594
47213,うるま市,27969,2029,882.0,9533,0.3408,21475,2950,0.1055,0.2207,6190.0,0.647,2.092
27204,池田市,27826,716,2487.0,9472,0.3404,19721,3733,0.1342,0.2532,7036.0,0.744,1.887
40219,大野城市,22747,846,1721.0,7740,0.3403,14965,4006,0.1761,0.2509,5615.0,0.738,1.425
14205,藤沢市,106906,3406,2009.0,36050,0.3372,75466,4484,0.0419,0.2759,29393.0,0.818,6.579
38201,松山市,139182,7134,1249.0,45802,0.3291,99525,18143,0.1304,0.2572,35893.0,0.781,1.973
23424,大治町,6707,357,1202.0,2175,0.3243,5690,792,0.1181,0.329,2193.0,1.014,2.786
47212,豊見城市,12952,687,1207.0,4194,0.3238,8785,897,0.0693,0.1284,1634.0,0.396,1.854
13209,町田市,116720,3477,2148.0,37705,0.323,78132,8560,0.0733,0.3201,37283.0,0.991,4.365
11208,所沢市,87050,3076,1811.0,28084,0.3226,61548,6972,0.0801,0.2529,22015.0,0.784,3.158
22342,長泉町,9626,596,1034.0,3095,0.3215,7014,1451,0.1507,0.2318,2215.0,0.721,1.538
26207,城陽市,25175,700,2302.0,8091,0.3214,18932,1511,0.06,0.3223,8091.0,1.003,5.369
28206,芦屋市,27827,644,2765.0,8938,0.3212,20324,2653,0.0953,0.2065,5710.0,0.643,2.166
13224,多摩市,42645,984,2774.0,13692,0.3211,28922,2199,0.0516,0.3453,14703.0,1.075,6.696
17365,内灘町,7131,373,1224.0,2287,0.3207,4618,878,0.1231,0.1974,1397.0,0.615,1.603
26208,向日市,15322,367,2672.0,4861,0.3173,11391,832,0.0543,0.2584,3918.0,0.814,4.758
14215,海老名市,33831,1152,1880.0,10716,0.3168,24154,1213,0.0359,0.3287,11117.0,1.038,9.167
12100,千葉市,250079,9373,1708.0,79201,0.3167,170124,18022,0.0721,0.2531,63275.0,0.799,3.513
08309,大洗町,5263,447,754.0,1665,0.3164,3490,736,0.1398,0.2183,1141.0,0.69,1.561
30207,新宮市,10120,745,869.0,3200,0.3162,7005,1424,0.1407,0.3106,3140.0,0.982,2.207
47326,北谷町,5712,323,1132.0,1805,0.316,3854,341,0.0597,0.1689,973.0,0.534,2.829
22341,清水町,8198,434,1209.0,2572,0.3137,6563,295,0.036,0.2061,1707.0,0.657,5.726
26343,井手町,2528,172,941.0,788,0.3117,2100,219,0.0866,0.4353,1115.0,1.397,5.025
47382,与那国町,360,63,366.0,112,0.3111,227,31,0.0861,0.5296,191.0,1.702,6.15
22100,静岡市,209603,9283,1445.0,65057,0.3104,146216,21348,0.1018,0.2525,52929.0,0.813,2.479
47375,多良間村,323,43,481.0,100,0.3096,108,0,0.0,0.1693,55.0,0.547,
23228,岩倉市,11990,516,1487.0,3697,0.3083,8718,205,0.0171,0.2618,3140.0,0.849,15.313
12221,八千代市,50353,1839,1752.0,15498,0.3078,36494,3493,0.0694,0.2743,13847.0,0.891,3.953
26204,宇治市,53723,1404,2449.0,16419,0.3056,38952,3177,0.0591,0.2758,14838.0,0.902,4.664
47210,糸満市,13473,967,892.0,4080,0.3028,10353,1894,0.1406,0.235,3177.0,0.776,1.671
19201,甲府市,54546,3329,1049.0,16511,0.3027,38830,5123,0.0939,0.2429,13235.0,0.802,2.586
27220,箕面市,35100,1080,2080.0,10590,0.3017,25058,2466,0.0703,0.2278,8032.0,0.755,3.242
17201,金沢市,120705,6128,1261.0,36038,0.2986,88306,10748,0.089,0.1985,24065.0,0.665,2.229
14150,相模原市,185014,6306,1878.0,55161,0.2981,126423,17646,0.0954,0.2767,51247.0,0.928,2.901
19202,富士吉田市,13998,1084,826.0,4104,0.2932,10228,935,0.0668,0.2177,3049.0,0.742,3.259
26209,長岡京市,21969,585,2403.0,6412,0.2919,16567,2375,0.1081,0.3542,7800.0,1.214,3.277
17212,野々市市,11744,671,1120.0,3363,0.2864,8914,335,0.0285,0.1682,1884.0,0.587,5.895
13225,稲城市,20143,684,1885.0,5761,0.286,14774,659,0.0327,0.2704,5432.0,0.946,8.266
11222,越谷市,87079,3039,1834.0,24903,0.286,56845,4123,0.0473,0.2352,20491.0,0.822,4.967
11234,八潮市,21329,924,1477.0,6098,0.2859,17065,1506,0.0706,0.2866,6099.0,1.002,4.058
44202,別府市,39011,1567,1593.0,11051,0.2833,26230,2651,0.068,0.2505,9775.0,0.884,3.686
14100,横浜市,920503,21282,2768.0,259739,0.2822,568661,31387,0.0341,0.2432,223886.0,0.862,7.132
15586,粟島浦村,146,14,667.0,41,0.2808,41,47,0.3219,0.469,68.0,1.67,1.457
27211,茨木市,68457,1975,2218.0,19112,0.2792,44868,5675,0.0829,0.2851,19586.0,1.021,3.439
21421,北方町,4419,254,1113.0,1223,0.2768,3789,22,0.005,0.2579,1149.0,0.932,51.797
47353,渡嘉敷村,146,26,359.0,40,0.274,118,6,0.0411,0.5116,75.0,1.867,12.449
23342,豊山町,3705,211,1124.0,1014,0.2737,2869,3,0.0008,0.2202,758.0,0.805,271.958
13215,国立市,17483,446,2509.0,4769,0.2728,9860,353,0.0202,0.2911,5167.0,1.067,14.418
27140,堺市,232994,6097,2446.0,62875,0.2699,148537,14216,0.061,0.2644,61635.0,0.98,4.333
28204,西宮市,115707,2803,2642.0,30208,0.2611,68786,9400,0.0812,0.2381,27605.0,0.912,2.931
11241,鶴ヶ島市,20590,836,1576.0,5360,0.2603,12649,825,0.0401,0.2074,4197.0,0.797,5.175
12216,習志野市,40258,926,2782.0,10428,0.259,27747,253,0.0063,0.2975,12044.0,1.149,47.34
47325,嘉手納町,3247,115,1807.0,833,0.2565,2514,104,0.032,0.1825,597.0,0.712,5.699
11100,さいたま市,304869,10128,1927.0,77953,0.2557,192860,18385,0.0603,0.2323,70859.0,0.909,3.853
14203,平塚市,72444,2547,1820.0,18443,0.2546,49885,4191,0.0579,0.2694,19537.0,1.058,4.657
