市区町村コード,市区町村名,総人口,総65歳以上人口,居住125mメッシュ数,高齢者密度_人per_km2,道路距離対象_65歳以上人口,道路距離対象_総人口,圏外65歳以上人口,圏外率,圏外総人口,圏外率_総人口,スーパー圏外65歳以上人口,スーパー圏外率,農水省_困難人口割合,農水省_困難人口,比_農水省÷本推計
41387,玄海町,5546,1766,397,285.0,1766,5535,1628,0.9219,4778,0.8632,1718,0.9728,0.2349,417.0,0.255
20304,川上村,4348,1197,274,280.0,1197,4348,1103,0.9215,3982,0.9158,1188,0.9925,0.0802,96.0,0.087
31389,南部町,10325,3893,664,375.0,3893,10325,3587,0.9214,9397,0.9101,3812,0.9792,0.2442,947.0,0.265
07344,天栄村,5177,1916,431,285.0,1916,5177,1765,0.9212,4632,0.8947,1916,1.0,0.1078,206.0,0.117
30304,紀美野町,8309,4029,783,329.0,4029,8309,3711,0.9211,7640,0.9195,3864,0.959,0.393,1576.0,0.427
20452,筑北村,4169,1911,463,264.0,1911,4169,1756,0.9189,3806,0.9129,1911,1.0,0.2659,513.0,0.289
20305,南牧村,3240,997,313,204.0,997,3240,916,0.9188,2948,0.9099,962,0.9649,0.137,136.0,0.149
40608,大任町,5044,1939,347,358.0,1939,5044,1781,0.9185,4669,0.9257,1857,0.9577,0.2688,524.0,0.293
17324,川北町,6100,1452,187,497.0,1452,6100,1333,0.918,5784,0.9482,1435,0.9883,0.1251,181.0,0.136
02402,七戸町,14555,5935,1273,298.0,5935,14555,5446,0.9176,13522,0.929,5583,0.9407,0.3899,2317.0,0.425
20423,南木曽町,3915,1685,453,238.0,1685,3915,1546,0.9175,3608,0.9216,1567,0.93,0.3375,568.0,0.368
10448,昭和村,6938,2277,631,231.0,2277,6938,2088,0.917,6304,0.9086,2277,1.0,0.2238,511.0,0.244
20602,栄村,1647,890,211,270.0,890,1647,816,0.9169,1515,0.9199,816,0.9169,0.4098,370.0,0.447
06341,大石田町,6592,2639,372,454.0,2639,6592,2418,0.9163,5982,0.9075,2446,0.9269,0.2082,548.0,0.227
02423,大間町,4680,1700,256,425.0,1686,4649,1544,0.9158,4064,0.8742,1662,0.9858,0.4495,769.0,0.491
45429,諸塚村,1486,676,215,201.0,676,1486,619,0.9157,1280,0.8614,619,0.9157,0.3496,237.0,0.382
22429,川根本町,6206,3082,599,329.0,3082,6206,2822,0.9156,5694,0.9175,3027,0.9822,0.3725,1146.0,0.407
05348,三種町,15247,6934,1064,417.0,6934,15247,6345,0.9151,13943,0.9145,6695,0.9655,0.3726,2584.0,0.407
