市区町村コード,市区町村名,総65歳以上人口,圏外65歳以上人口_変種A,圏外率_変種A,圏外65歳以上人口_supermarketのみ,圏外65歳以上人口_変種C125,圏外率_変種C125,農水省_困難人口割合,農水省_困難人口,比_農水省÷変種A,比_農水省÷変種C125
01667,鶴居村,914,868,0.9497,914,804,0.8796,0.271,247.0,0.285,0.308
13381,三宅村,894,849,0.9497,866,813,0.9094,0.5896,527.0,0.621,0.648
46502,南種子町,1962,1863,0.9495,1863,1650,0.841,0.4556,894.0,0.48,0.542
23427,飛島村,1414,1342,0.9491,1414,1222,0.8642,0.1466,208.0,0.154,0.17
01331,松前町,3205,3041,0.9488,3205,2569,0.8016,0.4621,1509.0,0.487,0.577
45430,椎葉村,1135,1076,0.948,1135,1036,0.9128,0.3588,410.0,0.378,0.393
07322,大玉村,2514,2383,0.9479,2514,2303,0.9161,0.1535,377.0,0.162,0.168
09344,市貝町,3357,3182,0.9479,3341,2913,0.8677,0.2609,865.0,0.275,0.301
21403,大野町,6615,6269,0.9477,6536,5374,0.8124,0.2273,1502.0,0.24,0.28
13307,檜原村,1049,994,0.9476,994,970,0.9247,0.4528,479.0,0.478,0.49
07503,平田村,2076,1966,0.947,2025,1850,0.8911,0.1532,315.0,0.162,0.172
06426,三川町,2677,2535,0.947,2632,2358,0.8808,0.2125,566.0,0.224,0.241
32505,吉賀町,2710,2566,0.9469,2647,2144,0.7911,0.4045,1100.0,0.427,0.511
24442,明和町,7017,6642,0.9466,6823,5680,0.8095,0.1982,1389.0,0.209,0.245
27322,能勢町,3757,3556,0.9465,3689,3343,0.8898,0.3395,1279.0,0.359,0.382
20304,川上村,1197,1133,0.9465,1188,949,0.7928,0.0802,96.0,0.085,0.101
02323,深浦町,3605,3411,0.9462,3469,3109,0.8624,0.5266,1962.0,0.557,0.611
20349,青木村,1617,1530,0.9462,1617,1372,0.8485,0.2048,333.0,0.216,0.241
10366,上野村,518,490,0.9459,490,502,0.9691,0.4618,239.0,0.488,0.477
15581,関川村,2213,2092,0.9453,2213,1957,0.8843,0.2041,453.0,0.216,0.231
33622,勝央町,3502,3306,0.944,3364,2972,0.8487,0.2965,1027.0,0.314,0.349
15405,出雲崎町,1797,1696,0.9438,1696,1516,0.8436,0.2808,506.0,0.298,0.333
20303,小海町,1836,1732,0.9434,1822,1629,0.8873,0.2456,450.0,0.26,0.277
24471,大紀町,3934,3709,0.9428,3799,3515,0.8935,0.3313,1303.0,0.351,0.371
07303,国見町,3626,3418,0.9426,3482,2840,0.7832,0.2247,818.0,0.238,0.287
46527,龍郷町,1880,1772,0.9426,1781,1645,0.875,0.4996,952.0,0.53,0.571
05366,井川町,1969,1855,0.9421,1969,1615,0.8202,0.3289,650.0,0.349,0.401
19422,道志村,614,578,0.9414,614,512,0.8339,0.2612,160.0,0.277,0.313
30392,日高川町,3369,3170,0.9409,3369,3111,0.9234,0.3742,1268.0,0.398,0.405
09345,芳賀町,4715,4436,0.9408,4576,4054,0.8598,0.203,971.0,0.216,0.236
43369,和水町,3972,3736,0.9406,3824,3315,0.8346,0.2889,1144.0,0.307,0.346
01602,平取町,1657,1558,0.9403,1657,1325,0.7996,0.3071,516.0,0.327,0.384
43510,相良村,1742,1638,0.9403,1638,1508,0.8657,0.316,554.0,0.336,0.365
30382,日高町,2257,2118,0.9384,2257,1815,0.8042,0.3843,890.0,0.41,0.478
20602,栄村,890,835,0.9382,835,835,0.9382,0.4098,370.0,0.437,0.437
05349,八峰町,3035,2847,0.9381,2942,2657,0.8755,0.4308,1308.0,0.459,0.492
31401,日南町,2182,2046,0.9377,2144,1908,0.8744,0.3814,835.0,0.407,0.436
01437,北竜町,776,727,0.9369,776,702,0.9046,0.3753,291.0,0.401,0.415
20590,飯綱町,4223,3956,0.9368,3970,3554,0.8416,0.1881,787.0,0.201,0.223
39412,四万十町,6990,6543,0.9361,6583,6058,0.8667,0.2755,1923.0,0.294,0.318
10523,千代田町,3395,3177,0.9358,3372,2812,0.8283,0.1862,628.0,0.199,0.225
02425,風間浦村,748,700,0.9358,700,602,0.8048,0.5751,435.0,0.614,0.715
42411,新上五島町,7245,6776,0.9353,7007,6047,0.8346,0.6051,4525.0,0.647,0.725
17407,中能登町,6162,5760,0.9348,6001,4794,0.778,0.2097,1289.0,0.224,0.27
45361,高原町,3616,3379,0.9345,3539,2901,0.8023,0.2916,1052.0,0.312,0.363
45404,木城町,1829,1709,0.9344,1829,1470,0.8037,0.2631,479.0,0.282,0.327
05346,藤里町,1411,1318,0.9341,1411,1149,0.8143,0.3631,513.0,0.389,0.446
32449,邑南町,4584,4279,0.9335,4461,3748,0.8176,0.3778,1731.0,0.405,0.462
30343,九度山町,1780,1661,0.9331,1661,1483,0.8331,0.3317,594.0,0.356,0.398
20583,信濃町,3398,3170,0.9329,3386,2980,0.877,0.2421,827.0,0.259,0.276
20363,原村,2661,2482,0.9327,2661,2243,0.8429,0.1901,507.0,0.204,0.225
20448,生坂村,713,665,0.9327,665,631,0.885,0.268,187.0,0.287,0.303
01431,浦臼町,782,729,0.9322,782,713,0.9118,0.3973,309.0,0.426,0.436
22429,川根本町,3082,2873,0.9322,3082,2797,0.9075,0.3725,1146.0,0.4,0.41
31402,日野町,1472,1372,0.9321,1372,986,0.6698,0.3569,525.0,0.383,0.533
30304,紀美野町,4029,3753,0.9315,3869,3474,0.8622,0.393,1576.0,0.422,0.456
10424,長野原町,1981,1845,0.9313,1934,1521,0.7678,0.2134,425.0,0.229,0.278
40522,大木町,4130,3846,0.9312,4050,3285,0.7954,0.2989,1206.0,0.321,0.376
34214,安芸高田市,11098,10331,0.9309,10614,8817,0.7945,0.2698,2998.0,0.29,0.34
01391,島牧村,563,524,0.9307,563,500,0.8881,0.3895,220.0,0.419,0.439
02423,大間町,1700,1582,0.9306,1582,1385,0.8147,0.4495,769.0,0.483,0.552
02402,七戸町,5935,5522,0.9304,5577,4984,0.8398,0.3899,2317.0,0.419,0.464
03503,野田村,1506,1400,0.9296,1400,1093,0.7258,0.3078,466.0,0.331,0.424
12409,芝山町,2504,2327,0.9293,2477,2086,0.8331,0.1211,318.0,0.13,0.145
07423,柳津町,1391,1292,0.9288,1341,1147,0.8246,0.2642,369.0,0.284,0.32
29444,黒滝村,345,320,0.9275,345,295,0.8551,0.3614,124.0,0.39,0.423
07464,泉崎村,1983,1839,0.9274,1882,1445,0.7287,0.1347,267.0,0.145,0.185
20324,立科町,2424,2248,0.9274,2253,2116,0.8729,0.177,432.0,0.191,0.203
29401,高取町,2763,2562,0.9273,2763,2555,0.9247,0.3161,879.0,0.341,0.342
07521,三春町,5918,5485,0.9268,5644,4612,0.7793,0.2115,1244.0,0.228,0.271
46529,喜界町,2658,2463,0.9266,2463,2114,0.7953,0.6068,1616.0,0.655,0.763
34369,北広島町,6922,6413,0.9265,6766,5432,0.7847,0.3407,2357.0,0.368,0.434
38484,松野町,1733,1605,0.9261,1605,1517,0.8754,0.3603,624.0,0.389,0.412
21506,白川町,3464,3205,0.9252,3383,2905,0.8386,0.3506,1217.0,0.379,0.418
24461,玉城町,4278,3954,0.9243,4227,2921,0.6828,0.1797,765.0,0.194,0.263
07561,新地町,2599,2402,0.9242,2442,1840,0.708,0.2196,570.0,0.238,0.31
07362,下郷町,2355,2176,0.924,2355,1958,0.8314,0.2986,705.0,0.323,0.359
07402,北塩原村,944,872,0.9237,944,829,0.8782,0.2341,222.0,0.253,0.267
42210,壱岐市,9531,8804,0.9237,9159,7926,0.8316,0.4681,4512.0,0.507,0.563
20432,木曽町,4425,4087,0.9236,4087,3297,0.7451,0.2985,1321.0,0.323,0.401
41387,玄海町,1766,1631,0.9236,1761,1502,0.8505,0.2349,417.0,0.254,0.276
02405,六戸町,3536,3266,0.9236,3376,2641,0.7469,0.4153,1466.0,0.45,0.556
31329,八頭町,5784,5341,0.9234,5774,4775,0.8256,0.1907,1104.0,0.206,0.231
28501,佐用町,6856,6330,0.9233,6706,5939,0.8662,0.3673,2517.0,0.398,0.424
12427,長南町,3250,3000,0.9231,3150,2737,0.8422,0.1488,478.0,0.161,0.177
20430,大桑村,1476,1362,0.9228,1394,1282,0.8686,0.3264,484.0,0.354,0.376
22304,南伊豆町,3871,3568,0.9217,3700,3257,0.8414,0.436,1689.0,0.473,0.518
39424,大月町,2146,1978,0.9217,2045,1852,0.863,0.3136,682.0,0.34,0.363
33215,美作市,10795,9943,0.9211,10578,9132,0.8459,0.3315,3580.0,0.36,0.392
02307,外ヶ浜町,2616,2409,0.9209,2497,2216,0.8471,0.5458,1501.0,0.593,0.644
36342,神山町,2525,2325,0.9208,2458,2186,0.8657,0.4069,1027.0,0.442,0.47
01560,滝上町,1077,991,0.9201,1077,953,0.8849,0.4254,461.0,0.462,0.481
28222,養父市,8745,8046,0.9201,8481,6509,0.7443,0.381,3334.0,0.414,0.512
40602,添田町,3925,3610,0.9197,3762,3162,0.8056,0.3081,1210.0,0.335,0.383
08233,行方市,11616,10677,0.9192,11441,9915,0.8536,0.2084,2418.0,0.227,0.244
12424,白子町,4187,3845,0.9183,4055,3367,0.8042,0.2118,882.0,0.231,0.263
20425,木祖村,1163,1068,0.9183,1068,1041,0.8951,0.2235,261.0,0.243,0.25
03485,普代村,1073,984,0.9171,984,878,0.8183,0.3397,362.0,0.37,0.415
07344,天栄村,1916,1757,0.917,1916,1746,0.9113,0.1078,206.0,0.118,0.118
26407,京丹波町,5707,5232,0.9168,5530,4665,0.8174,0.3082,1759.0,0.336,0.377
10449,みなかみ町,7012,6424,0.9161,6969,5852,0.8346,0.2244,1574.0,0.245,0.269
40608,大任町,1939,1776,0.9159,1871,1661,0.8566,0.2688,524.0,0.293,0.314
06341,大石田町,2639,2416,0.9155,2537,1938,0.7344,0.2082,548.0,0.227,0.284
36383,牟岐町,2008,1838,0.9153,1838,1324,0.6594,0.3859,778.0,0.422,0.585
39428,黒潮町,4568,4181,0.9153,4241,3555,0.7782,0.272,1255.0,0.297,0.349
18382,池田町,1078,986,0.9147,1044,888,0.8237,0.425,458.0,0.465,0.516
09411,那珂川町,6035,5519,0.9145,5846,4776,0.7914,0.2586,1559.0,0.283,0.327
43531,苓北町,3027,2767,0.9141,2919,2145,0.7086,0.3943,1211.0,0.431,0.556
20417,大鹿村,465,425,0.914,425,395,0.8495,0.4132,192.0,0.452,0.486
20423,南木曽町,1685,1540,0.9139,1609,1398,0.8297,0.3375,568.0,0.369,0.407
10425,嬬恋村,3295,3009,0.9132,3106,2725,0.827,0.1735,570.0,0.19,0.21
36405,上板町,4037,3686,0.9131,3948,3087,0.7647,0.241,974.0,0.264,0.315
43501,錦町,3439,3139,0.9128,3400,2847,0.8279,0.2987,1022.0,0.327,0.361
46491,南大隅町,3183,2905,0.9127,3023,2607,0.819,0.4776,1527.0,0.523,0.583
12422,睦沢町,2870,2619,0.9125,2862,2187,0.762,0.2144,610.0,0.235,0.281
24561,御浜町,3311,3021,0.9124,3067,2671,0.8067,0.3582,1182.0,0.393,0.444
43367,南関町,3514,3206,0.9124,3318,2899,0.825,0.3127,1104.0,0.343,0.379
01604,新冠町,1753,1599,0.9122,1722,1145,0.6532,0.3365,588.0,0.369,0.515
35213,美祢市,9893,9024,0.9122,9648,7809,0.7893,0.1544,1529.0,0.169,0.196
28446,神河町,4055,3698,0.912,3742,3258,0.8035,0.356,1444.0,0.39,0.443
07407,磐梯町,1236,1127,0.9118,1127,1023,0.8277,0.1895,236.0,0.208,0.229
32343,奥出雲町,5132,4679,0.9117,5046,4495,0.8759,0.3015,1547.0,0.331,0.344
32386,飯南町,2116,1929,0.9116,1950,1704,0.8053,0.2904,614.0,0.319,0.361
17461,穴水町,3790,3450,0.9103,3591,2985,0.7876,0.311,1204.0,0.342,0.395
36387,美波町,3035,2762,0.91,3035,2417,0.7964,0.4127,1267.0,0.453,0.518
28365,多可町,7305,6644,0.9095,7008,6201,0.8489,0.3151,2302.0,0.346,0.371
42208,松浦市,7715,7008,0.9084,7508,6017,0.7799,0.442,3466.0,0.487,0.567
41423,大町町,2571,2335,0.9082,2555,1984,0.7717,0.219,562.0,0.241,0.284
44214,国東市,11216,10184,0.908,10715,9228,0.8228,0.3105,3511.0,0.342,0.377
32448,美郷町,2071,1880,0.9078,1880,1847,0.8918,0.3682,767.0,0.406,0.413
33586,新庄村,346,314,0.9075,314,304,0.8786,0.3376,117.0,0.372,0.384
40646,上毛町,2612,2370,0.9074,2414,2195,0.8404,0.331,866.0,0.365,0.394
04422,大郷町,3029,2748,0.9072,3029,2444,0.8069,0.1664,502.0,0.183,0.206
02209,つがる市,12009,10893,0.9071,11540,9684,0.8064,0.3894,4673.0,0.429,0.483
20309,佐久穂町,3926,3559,0.9065,3748,2884,0.7346,0.1861,737.0,0.205,0.253
43441,御船町,5626,5099,0.9063,5295,3856,0.6854,0.2804,1588.0,0.309,0.409
40625,みやこ町,7894,7151,0.9059,7721,5886,0.7456,0.3305,2616.0,0.365,0.443
04341,丸森町,5314,4811,0.9053,5076,4316,0.8122,0.2378,1259.0,0.263,0.293
06403,飯豊町,2572,2326,0.9044,2385,2113,0.8215,0.1965,502.0,0.217,0.239
45441,高千穂町,5038,4556,0.9043,4748,3724,0.7392,0.2876,1443.0,0.318,0.389
05348,三種町,6934,6264,0.9034,6730,5630,0.8119,0.3726,2584.0,0.412,0.459
08364,大子町,7282,6574,0.9028,6693,6173,0.8477,0.2971,2159.0,0.329,0.35
11349,ときがわ町,4082,3684,0.9025,3939,2979,0.7298,0.1811,741.0,0.201,0.248
34368,安芸太田町,3014,2719,0.9021,2803,2650,0.8792,0.3596,1075.0,0.399,0.409
46404,長島町,3493,3149,0.9015,3395,2801,0.8019,0.4,1418.0,0.444,0.499
11381,美里町,3710,3344,0.9013,3646,2617,0.7054,0.1834,682.0,0.203,0.26
01425,上砂川町,1468,1321,0.8999,1468,1052,0.7166,0.506,738.0,0.562,0.706
12342,神崎町,2021,1818,0.8996,1956,1355,0.6705,0.2345,472.0,0.261,0.35
02367,田舎館村,2676,2406,0.8991,2676,2225,0.8315,0.4095,1081.0,0.455,0.492
36301,勝浦町,2119,1905,0.899,1922,1426,0.673,0.33,702.0,0.367,0.49
38422,内子町,6274,5640,0.8989,5928,4565,0.7276,0.3054,1914.0,0.34,0.42
36206,阿波市,13200,11856,0.8982,12458,9854,0.7465,0.2654,3504.0,0.295,0.356
39405,檮原町,1542,1385,0.8982,1385,1308,0.8482,0.3783,579.0,0.421,0.446
