市区町村コード,市区町村名,総65歳以上人口,居住125mメッシュ数,高齢者密度_人per_km2,圏外65歳以上人口_変種A,圏外率_変種A,圏外65歳以上人口_supermarketのみ,圏外65歳以上人口_変種C125,圏外率_変種C125,農水省_困難人口割合,農水省_困難人口,比_農水省÷変種A,比_農水省÷変種C125
23225,知立市,14309,793,1155.0,6129,0.4283,11207,1751,0.1224,0.2974,4271.0,0.694,2.43
23229,豊明市,17930,895,1282.0,7674,0.428,14988,2454,0.1369,0.279,5056.0,0.652,2.038
23201,豊橋市,95867,6932,885.0,40976,0.4274,70387,17885,0.1866,0.235,22500.0,0.55,1.26
11240,幸手市,17769,1182,962.0,7592,0.4273,11516,4060,0.2285,0.2239,3948.0,0.524,0.98
29205,橿原市,34616,1691,1310.0,14758,0.4263,26597,5232,0.1511,0.2526,8716.0,0.593,1.671
25206,草津市,30026,1708,1125.0,12786,0.4258,21575,3484,0.116,0.3378,10153.0,0.793,2.911
27208,貝塚市,23174,1065,1393.0,9805,0.4231,19081,4196,0.1811,0.3151,7252.0,0.745,1.74
27362,田尻町,2060,107,1232.0,871,0.4228,2000,697,0.3383,0.4401,879.0,1.041,1.301
01402,岩内町,4366,382,731.0,1837,0.4208,3450,862,0.1974,0.3526,1539.0,0.838,1.786
01224,千歳市,22686,1630,891.0,9527,0.42,19879,2834,0.1249,0.2203,4999.0,0.525,1.763
04203,塩竈市,17820,773,1475.0,7461,0.4187,14982,2351,0.1319,0.261,4614.0,0.623,1.978
26322,久御山町,4944,301,1051.0,2070,0.4187,3810,786,0.159,0.1849,902.0,0.442,1.163
22203,沼津市,60360,2812,1374.0,25254,0.4184,43534,9334,0.1546,0.2608,15774.0,0.623,1.686
01207,帯広市,49008,3338,940.0,20481,0.4179,39743,5609,0.1145,0.2184,10699.0,0.522,1.908
34100,広島市,301090,13295,1449.0,125739,0.4176,208166,59989,0.1992,0.2517,75728.0,0.603,1.263
27221,柏原市,19834,613,2071.0,8271,0.417,13930,2429,0.1225,0.3369,6726.0,0.808,2.751
10426,草津町,2353,222,678.0,980,0.4165,1751,522,0.2218,0.4748,1115.0,1.14,2.14
27222,羽曳野市,33499,1016,2110.0,13941,0.4162,25139,3244,0.0968,0.2475,8245.0,0.595,2.555
47350,南風原町,8054,446,1156.0,3341,0.4148,6670,1354,0.1681,0.1999,1571.0,0.482,1.189
23226,尾張旭市,21661,900,1540.0,8974,0.4143,16505,4347,0.2007,0.2885,6196.0,0.696,1.438
28216,高砂市,25681,1132,1452.0,10633,0.414,19234,3517,0.1369,0.3071,7862.0,0.742,2.243
23206,春日井市,79426,3615,1406.0,32861,0.4137,62564,10184,0.1282,0.2832,22522.0,0.684,2.209
17365,内灘町,7131,373,1224.0,2942,0.4126,4618,878,0.1231,0.1974,1397.0,0.478,1.603
19384,昭和町,4070,423,616.0,1679,0.4125,3067,120,0.0295,0.1953,778.0,0.473,6.622
37386,宇多津町,3947,331,763.0,1622,0.4109,2892,549,0.1391,0.2854,1131.0,0.695,2.052
23209,碧南市,17291,1091,1014.0,7078,0.4093,12654,1808,0.1046,0.2171,3745.0,0.53,2.076
34304,海田町,6961,306,1456.0,2844,0.4086,4738,1348,0.1937,0.1607,1135.0,0.393,0.83
11201,川越市,89087,4262,1338.0,36369,0.4082,64960,10388,0.1166,0.2749,24479.0,0.673,2.357
23238,長久手市,10120,731,886.0,4131,0.4082,8478,1247,0.1232,0.3026,2978.0,0.741,2.456
04211,岩沼市,11739,981,766.0,4782,0.4074,10579,2391,0.2037,0.1994,2344.0,0.489,0.979
10524,大泉町,9402,713,844.0,3826,0.4069,6761,1418,0.1508,0.2014,1906.0,0.495,1.335
40231,那珂川市,11636,765,973.0,4715,0.4052,6644,2890,0.2484,0.2414,2826.0,0.596,0.972
11233,北本市,21141,945,1432.0,8525,0.4032,14539,2118,0.1002,0.217,4596.0,0.538,2.166
13201,八王子市,153512,5336,1841.0,61847,0.4029,112322,19642,0.128,0.3981,61105.0,0.988,3.111
40100,北九州市,286082,11191,1636.0,115181,0.4026,201167,40709,0.1423,0.2808,80364.0,0.697,1.973
38201,松山市,139182,7134,1249.0,55998,0.4023,99525,22267,0.16,0.2572,35893.0,0.639,1.607
13205,青梅市,42506,1929,1410.0,17081,0.4018,29666,9830,0.2313,0.3765,15997.0,0.937,1.628
27301,島本町,8482,233,2330.0,3407,0.4017,5379,1615,0.1904,0.2695,2288.0,0.671,1.415
21302,岐南町,5732,452,812.0,2298,0.4009,4679,239,0.0417,0.1724,1004.0,0.43,4.135
23205,半田市,28418,1591,1143.0,11363,0.3999,22783,3040,0.107,0.2376,6792.0,0.594,2.221
11231,桶川市,22122,1110,1276.0,8797,0.3977,16785,2357,0.1065,0.2272,5027.0,0.571,2.132
27202,岸和田市,53418,1993,1715.0,21199,0.3969,40689,6515,0.122,0.2978,15933.0,0.75,2.442
12217,柏市,110252,4056,1740.0,43709,0.3964,78653,10048,0.0911,0.2639,29082.0,0.666,2.895
28382,播磨町,9263,338,1754.0,3649,0.3939,6860,753,0.0813,0.2302,2109.0,0.584,2.832
12220,流山市,46082,1717,1718.0,18100,0.3928,33029,5943,0.129,0.2396,11035.0,0.61,1.858
27213,泉佐野市,26160,1339,1250.0,10272,0.3927,17855,2743,0.1049,0.3105,8146.0,0.791,2.962
11301,伊奈町,10819,673,1029.0,4224,0.3904,9533,1736,0.1605,0.2785,3042.0,0.713,1.736
17212,野々市市,11744,671,1120.0,4583,0.3902,8914,807,0.0687,0.1682,1884.0,0.431,2.447
30207,新宮市,10120,745,869.0,3940,0.3893,7005,2233,0.2207,0.3106,3140.0,0.798,1.408
27210,枚方市,109847,2599,2705.0,42720,0.3889,80082,8240,0.075,0.2809,30979.0,0.722,3.745
47210,糸満市,13473,967,892.0,5240,0.3889,10353,2739,0.2033,0.235,3177.0,0.604,1.156
14214,伊勢原市,26784,1492,1149.0,10398,0.3882,20788,3401,0.127,0.3344,8888.0,0.861,2.633
23210,刈谷市,31081,1908,1043.0,12036,0.3872,25513,2466,0.0793,0.3024,9382.0,0.781,3.811
26209,長岡京市,21969,585,2403.0,8501,0.387,16567,3114,0.1417,0.3542,7800.0,0.915,2.499
19201,甲府市,54546,3329,1049.0,21066,0.3862,38830,6568,0.1204,0.2429,13235.0,0.629,2.017
43100,熊本市,190945,11140,1097.0,73708,0.386,136828,30300,0.1587,0.2587,49423.0,0.67,1.63
37403,琴平町,3463,325,682.0,1335,0.3855,2568,766,0.2212,0.3003,1042.0,0.779,1.358
13212,日野市,45579,1359,2146.0,17493,0.3838,34385,2010,0.0441,0.3353,15308.0,0.874,7.604
13364,神津島村,587,60,626.0,225,0.3833,437,70,0.1193,0.37,217.0,0.965,3.103
